model_name,run_dir,test_MAE_12h,test_RMSE_12h,test_MAE_24h,test_RMSE_24h,test_MAE_48h,test_RMSE_48h,test_MAE_72h,test_RMSE_72h,split,test_avg_MAE,timestamp
GraphWaveNet_GRU,artifacts/runs/20260208_182608_GraphWaveNet_GRU,122.68877735238463,245.461842850083,127.5205355419846,256.62681552845083,138.53166483226073,283.2919055416,143.74666759151935,292.75849323799446,,,
GraphWaveNet_LSTM,artifacts/runs/20260208_200244_GraphWaveNet_LSTM,123.36764100803488,246.55450592598632,125.95369450985817,252.8686039227537,135.83058201768128,277.5499104359308,142.28609369606937,289.3651845637132,,,
GraphWaveNet_GRU_LSTM,artifacts/runs/20260208_214919_GraphWaveNet_GRU_LSTM,119.04941202113692,241.4269326475075,125.12351794076535,253.4020879100269,135.32532763295643,278.6291570215237,141.89079595877874,291.3092439157806,,,
STGCN,artifacts/runs/20260209_015638_STGCN,8775.111610213678,295355.09693280514,8771.100332875574,295357.87952528644,8771.417389005437,295357.9726909363,8770.536252185784,295358.39098727924,,,
STGCN,artifacts/runs/20260209_025423_STGCN,4932.437692008293,122701.83385239656,4919.577328395074,122693.71428377756,4923.404709624302,122693.76685022523,4926.035631843451,122693.38979111348,,,
STGCN,,119.12565071177194,243.99553330437325,121.7874521101227,247.6055175139456,139.6104730553971,289.3041748541103,148.54167620333357,300.3447316470608,test,132.26631302015633,
STGCN,,124.86571388734534,243.2109983728736,121.1995758299654,246.3599429819532,136.8940076353513,284.96444701362105,148.5658728181942,302.541043250826,test,132.88129254271405,
STGCN,,124.86571388734534,243.2109983728736,121.1995758299654,246.3599429819532,136.8940076353513,284.96444701362105,148.5658728181942,302.541043250826,test,132.88129254271405,
STGCN_GRU,,114.68931375164928,237.3741371563464,121.7450457142933,246.0480123118744,139.94108883389922,288.7407425972724,154.06685782328995,311.2386506056514,test,132.61057653078294,
STGCN_LSTM,,119.27965793760757,241.4563472604705,124.61072088124106,255.69559271842027,139.24570368056183,284.21703895790665,152.1122973891768,302.63942904212024,test,133.8120949721468,
STGCN_GRU_LSTM,,118.89407228834312,240.7943604236572,123.71992822459696,250.8284465220124,142.5788669348357,289.52669034843035,155.20832809326637,309.9392322946057,test,135.10029888526054,
LSTM,artifacts/runs/20260210_194456_LSTM,217.36300945180588,403.8561378866692,212.865069142365,399.0080086563779,214.15032390498664,399.0318755910393,212.68371001637647,392.7947707566625,,,2026-02-10 19:53:08
ElasticNet,artifacts/runs/20260210_195631_ElasticNet,151.0534210205078,306.8392333984375,148.70730590820312,304.0682373046875,149.3988037109375,305.1920166015625,141.1253204345703,295.5354919433594,,,2026-02-10 20:03:18
RandomForest,artifacts/runs/20260210_200319_RandomForest,114.4546890258789,259.4441223144531,115.1994857788086,263.8790283203125,123.0866470336914,279.9389038085937,125.60228729248048,284.7196350097656,,,2026-02-10 20:06:36
STGCN_GRU,,114.69997783617414,237.34883766063408,121.7379236600524,246.057257685638,139.976877662617,288.80573591256785,154.09464801488414,311.35145880883715,test,132.62735679343191,
STGCN_LSTM,,119.30188594472772,241.47309452334463,124.6017225579095,255.6791730235165,139.21105092641324,284.1557356142751,152.12459719056932,302.662697464104,test,133.80981415490493,
STGCN_GRU_LSTM,,119.17353837065178,240.94906153183825,122.300856991917,249.54672116361144,141.75921217798705,288.464532865601,154.3423360488865,308.13448526819354,test,134.39398589736058,
CNN_GRU_LSTM,,132.16937202017408,254.40400598618237,126.46521633342391,251.6118020237004,142.66605540839168,285.66816341202605,152.19614515429205,297.0296524667035,test,138.37419722907043,
