epoch,train_loss,val_avg_MAE,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h,val_MAE_48h,val_RMSE_48h,val_MAE_72h,val_RMSE_72h
1,0.16707557932598385,,,,,,,,,
2,0.11674975064091796,181.8908431408771,172.8559820405534,328.06054111731714,183.27624896322033,342.8787734024285,187.11616961810404,347.6881435388824,184.3149719416306,336.78325452966226
3,0.10068434394720033,,,,,,,,,
4,0.0931856674472178,170.45342759447877,160.85269356070754,305.5259585968128,167.02058072962686,315.34157733542565,175.98933705362657,327.43718743696724,177.9510990339541,328.5917478916961
5,0.08838794057763467,,,,,,,,,
6,0.08536736807954592,156.21613974685476,142.1908398437871,275.1342824692051,150.05608292170925,292.54978379059867,164.20788349803047,313.0674617759675,168.40975272389215,319.0058136865923
7,0.08269208951259223,,,,,,,,,
8,0.080543822073561,153.3050143958579,138.0268992069645,269.006401935524,146.54144678149387,285.3682952319385,161.0511549820529,306.1112364731497,167.6005566129204,316.8308570769401
9,0.07916921828910121,,,,,,,,,
10,0.07748233673610086,160.19194663280567,140.93403979238755,275.0018889238022,152.60059016277796,298.0252235602077,170.94604360483896,325.38297678559127,176.28711297121814,334.44597982496833
11,0.07639635031617532,,,,,,,,,
12,0.07539201181704604,147.16464563660645,128.751536524097,255.38018883212413,139.87334228075375,278.26456123383883,156.27381909251733,302.6018632950132,163.7598846490578,315.61632099395416
13,0.07482149545836636,,,,,,,,,
14,0.07436094221871668,149.61733147490875,131.14545971261845,252.39364762884586,140.43023503070674,275.74100009558424,159.39515037105548,304.9977148514053,167.49848078525432,320.4730357495534
15,0.07326469112803617,,,,,,,,,
16,0.07287852378107432,149.14434173041732,127.94893842312581,260.72644103740276,141.1318732375933,282.9787569222179,160.6352939573203,313.4792468098554,166.8612613036299,324.59815352918645
17,0.07213843341066142,,,,,,,,,
18,0.07222778039185081,154.5698070847561,134.01626651484318,266.3831761468653,146.70680345982757,292.80741751864093,166.05546628720293,325.6087706442475,171.50069207715066,338.62868956412615
19,0.07122753906672395,,,,,,,,,
20,0.07073539486668241,146.96597936814396,128.69267724775733,253.53893532683398,138.14571528533887,275.4531546832488,157.54820927486705,307.8482963753273,163.47731566461258,320.26373492802145
21,0.07074952935139964,,,,,,,,,
22,0.06982977189651625,150.34410335719468,130.3932663238762,254.88304600569032,141.40560317062187,277.0090404137617,160.54781222863213,310.72328983517957,169.02973170564863,327.94656811162326
23,0.06963393241753728,,,,,,,,,
24,0.06984220280891329,145.88784661159502,125.0156321553236,247.47508201382973,136.90043969908925,270.00233380553794,156.02276782405957,304.7960055364632,165.61254676790767,323.84398706027446
25,0.0694404502259934,,,,,,,,,
26,0.06869853944994334,141.4256263416974,121.95636748981984,247.24948082368695,132.84477745696591,267.5881701025261,152.252838436712,302.22662524295276,158.6485219832918,316.94900213434795
27,0.0689654008844706,,,,,,,,,
28,0.06848547851124148,137.19740541731036,118.14856375731803,236.72825010358375,129.22906477010807,261.74785077557675,147.2674856513494,292.57112114259735,154.1445074904659,307.187112734057
29,0.06820879137422156,,,,,,,,,
30,0.06790289567328814,143.32758758249702,123.91586717059147,247.41041690597748,135.0022876252449,268.2797946735603,152.68336527695436,300.73849833299585,161.70883025719738,319.20837981307466
31,0.0679598512259994,,,,,,,,,
32,0.06765604432760261,143.00730450171395,121.28286169953009,246.89209583611841,136.0087489121533,277.4526714411968,154.75100661448803,311.0080385118714,159.9866007806844,323.6976705776151
33,0.06763608806480573,,,,,,,,,
34,0.06721656502583834,156.25785160933617,137.62451331923407,275.0540135925196,145.8152383215618,289.083481204192,165.8735835725171,326.6292429839755,175.7180712240318,346.81058224924226
35,0.06794808749256172,,,,,,,,,
36,0.06687716121866008,151.16971435205903,128.57247327412406,258.4350430899341,141.3226168853286,282.21022950409207,163.3626305534812,322.5116610721057,171.4211366953022,341.8450435229435
37,0.0670166116823831,,,,,,,,,
38,0.06704867490398603,145.08564338205605,125.74567586870972,254.97381383213903,135.59090636751358,273.1375713354217,155.56553670746328,310.32752224497824,163.44045458453758,327.35476370058086
39,0.06660394229757505,,,,,,,,,
