epoch,train_loss,val_avg_MAE,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h,val_MAE_48h,val_RMSE_48h,val_MAE_72h,val_RMSE_72h
1,0.1971081150329019,,,,,,,,,
2,0.12799543107119132,7263.596987858158,7261.004829160563,287496.2032086739,7260.340936146724,287499.83251062664,7266.748511098886,287500.61903148616,7266.29367502646,287501.4296851858
3,0.11351003315974409,,,,,,,,,
4,0.10528400182489335,29297.266648805078,29295.443030085375,984952.1210919921,29289.584645875017,984953.3466846426,29302.326665640576,984953.6381454073,29301.712253619346,984954.0537317345
5,0.10054447877360141,,,,,,,,,
6,0.09716980229681871,24280.974248910727,24274.092830852664,798188.5735215722,24274.959809527067,798191.012086292,24286.732496118904,798191.0930840882,24288.11185914428,798191.3935906332
7,0.09462041026494634,,,,,,,,,
8,0.0930690114775042,17905.704320414086,17905.50183271293,589287.4958841328,17896.992971275147,589290.4619868903,17909.300844245052,589290.7631514098,17911.02163342321,589291.0765419526
9,0.0913672637282394,,,,,,,,,
10,0.09010433751767076,29436.580148175173,29435.012155380613,962414.1429972728,29427.225225122515,962413.0420025361,29440.0944611976,962412.9460074482,29443.988750999964,962413.198019377
11,0.08917627436673548,,,,,,,,,
12,0.08823784593287415,37901.06536201068,37897.41664433968,1253441.4409193299,37891.61681953526,1253445.8002330128,37905.86528942423,1253445.948459585,37909.36269474356,1253446.3337265095
13,0.0872895869565761,,,,,,,,,
