epoch,train_loss,val_avg_MAE,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h,val_MAE_48h,val_RMSE_48h,val_MAE_72h,val_RMSE_72h
1,0.16620236611741734,,,,,,,,,
2,0.11681670114749998,198.69774352119592,190.68573961225152,345.18398128752347,198.02326323372648,359.6223352767682,204.46419449345296,367.45862716422107,201.61777674535267,359.3624467854556
3,0.10069489091869414,,,,,,,,,
4,0.0926929357366299,174.31467228647566,163.40846351865682,305.802876557757,172.27214569687746,322.0781188962925,180.8430694723136,334.10941293260976,180.73501045805472,333.7350417718278
5,0.08700216866619005,,,,,,,,,
6,0.0827630128799461,156.41183107076657,143.5220222452776,275.77188518482683,151.8215872609825,292.8240419225273,163.9550370449808,311.619643942325,166.34867773182535,315.41103511317294
7,0.08020615090770046,,,,,,,,,
8,0.07812271847968966,160.91944027495921,147.8677915904224,287.931171457276,155.57813978568944,302.43772108572955,169.28924249647045,324.99412776721994,170.9425872272545,328.9499628729889
9,0.07608963027009814,,,,,,,,,
10,0.07463896080968886,154.8645608430527,136.6536367333056,267.2154930071263,149.4179229752275,289.50300836446524,164.0926861429231,315.83639382407995,169.2939975207546,328.15637946011947
11,0.07321765309009026,,,,,,,,,
12,0.07222970446029048,156.04667666986845,142.75153094235077,277.63423297319554,151.18910320815021,290.6307467917567,163.36821764392354,314.34847928646894,166.8778548850493,322.82812806480166
13,0.07141903371322812,,,,,,,,,
14,0.07116831346290318,170.1844362893549,154.07152330842212,299.532097636215,162.52058476748584,313.6174775459518,179.33407457735493,344.3159006255226,184.81156250415663,356.8119782163083
15,0.07105493217002688,,,,,,,,,
16,0.07078941949591862,145.2079794565612,129.41368613294722,259.6415271868941,139.45469439108138,279.72948967783043,153.47471795555126,306.4631866713804,158.4888193466649,316.44520054619875
17,0.069126461669216,,,,,,,,,
18,0.068786015748743,137.76920352281817,121.36365943557382,247.4793589929169,131.11531715482008,268.53529851820656,146.79195026687873,296.2353684732551,151.8058872340001,307.4349580222271
19,0.06912321658937011,,,,,,,,,
20,0.06857433175946784,140.20073996140758,124.54868327794341,253.64310387839544,133.3885931553065,273.84922944953087,149.19297171456043,302.01032697727857,153.67271169781995,311.0960670484678
21,0.06825270195762942,,,,,,,,,
22,0.06777816110356587,147.40361994353174,130.82013517564212,262.0841488701421,140.6152985094125,282.84359380887855,156.89125475754796,313.4662417473869,161.28779133152437,321.48391131559816
