epoch,train_loss,val_MAE_12h,val_MAE_24h,val_MAE_48h,val_MAE_72h,val_RMSE_12h,val_RMSE_24h,val_RMSE_48h,val_RMSE_72h,val_avg_MAE
1,0.15981852879205088,,,,,,,,,
2,0.1594162881374359,118.7489812125548,130.16282767225508,150.14187988343414,155.85921220896537,238.3123888534693,263.0651957282099,298.19749968212307,308.3841474251779,138.72822524430234
3,0.15899040227330577,,,,,,,,,
4,0.15888607736647598,113.18688565163443,135.11666876872854,154.35067976761883,167.37425771682354,242.70623990773154,275.1231494564587,307.73473432238745,329.91775225894924,142.50712297620134
5,0.1589322742514723,,,,,,,,,
6,0.15814004486470712,130.51779888232065,146.13438386547563,166.45969519033991,180.02090215507658,258.8085874927124,293.62161421409775,329.3821830611696,355.5293893814446,155.7831950233032
7,0.15771306499721496,,,,,,,,,
8,0.15762669493363599,113.7493646310157,131.95899126682363,165.87383579025175,165.36698099023502,238.17290639162516,275.56583088703843,332.44313377578817,329.46870504054516,144.23729316958153
9,0.15667306790201682,,,,,,,,,
10,0.15764086934055868,115.82135526223281,130.51731487366726,165.54265816887371,183.11050886642573,238.43299784546943,265.56597159022505,329.55787133782866,353.79898280030216,148.74795929279986
11,0.15701313926948338,,,,,,,,,
12,0.15642532037468407,110.84889452922364,131.5436862790227,159.05853868221385,173.5724461967169,237.66831853533736,273.4378547157449,319.79947343423703,342.188072445225,143.75589142179427
13,0.15586859791532276,,,,,,,,,
14,0.1568331120051737,121.77784163137103,122.72146991367532,147.15710151319954,161.2925504827379,240.67006006547112,254.45353594421468,298.97635887630906,319.31949399605867,138.23724088524597
15,0.15653872478196001,,,,,,,,,
16,0.15612643828072886,122.44377602043822,134.78357972586264,157.53204658644154,172.10911826936416,250.24226188827208,275.7599808853914,314.5708766846688,339.4784835984005,146.71713015052666
17,0.15587681402840953,,,,,,,,,
18,0.15543368447014666,114.86759516045977,127.8275790280256,154.51150023799616,167.78914442993982,239.5150137706986,266.3445800233203,312.4187326300936,332.4986389297868,141.24895471410534
19,0.15565317581723057,,,,,,,,,
20,0.1552551125916909,116.08970079940107,137.2952167760214,162.7081261258501,171.30811334127603,241.37079879591332,280.78946743895983,321.4650301397682,335.5263397498068,146.85028926063714
21,0.1553060743283099,,,,,,,,,
22,0.15531738865093922,126.46438596516231,131.08234287028117,154.4092676760839,164.8166951573245,261.9271908289744,276.5351255106022,311.80046094127204,330.03062445376577,144.19317291721296
23,0.15462217914072549,,,,,,,,,
24,0.155073466850078,118.0239433160608,133.72878888933226,152.13324851454294,161.9212830379996,244.2671393120704,269.16639886419637,303.06323687712614,320.8152073046327,141.4518159394839
25,0.15649130705773362,,,,,,,,,
26,0.15465475196444142,120.50956111560818,130.69517457445716,158.58863818931002,171.78189187112486,249.31169215268292,265.2309094985027,309.14596949400357,332.10532989304426,145.39381643762505
