epoch,train_loss,val_MAE_12h,val_MAE_24h,val_MAE_48h,val_MAE_72h,val_RMSE_12h,val_RMSE_24h,val_RMSE_48h,val_RMSE_72h,val_avg_MAE
1,0.36834931819457706,,,,,,,,,
2,0.23760297906211042,144.6436613214915,149.05128882520157,172.4791335027809,185.4575784318476,282.63886299555344,303.91462712370645,331.72305471710774,355.48421956930696,162.9079155203304
3,0.20638509646175415,,,,,,,,,
4,0.19346111097673732,133.02280440231138,137.22352467915647,166.3645364822933,188.71036972061816,271.89916438182024,285.6982517733628,327.19275674255954,363.85944279983556,156.3303088210948
5,0.18728334192685256,,,,,,,,,
6,0.1828230815961605,125.99954728475362,133.9778724734879,165.1673306569454,173.48135337512755,259.16316520265184,282.56242328696055,330.55135841715884,339.8591204786412,149.65652594757861
7,0.1793690977368768,,,,,,,,,
8,0.17741946277655954,129.82729251817986,149.9372097491967,169.2847895693552,177.30076342849378,259.9689812538237,305.244661952989,332.84886264561715,348.3513292256227,156.5875138163064
9,0.17567413493873565,,,,,,,,,
10,0.1744516956524586,121.97036995338885,135.43380054924384,153.265196422837,166.4567499581963,253.91510073189414,283.7615201879391,307.28516551531555,330.1893449250162,144.2815292209165
11,0.17115986499730057,,,,,,,,,
12,0.17020651909310047,116.06956203719011,124.43441074098988,159.54508566436556,171.5228400304787,242.71850609025955,265.92656723669324,318.787861160314,339.390954345204,142.89297461825606
13,0.1693988589085932,,,,,,,,,
14,0.1690021648885697,115.32496207975389,126.0301568684456,151.8722141148348,163.39335079232293,240.82370493922502,266.42522522354466,301.98241347487186,320.24900296360744,139.1551709638393
15,0.16795132244665792,,,,,,,,,
16,0.1677971406011131,119.9711915983081,130.70476443012035,156.79959322133737,164.5749930762595,249.60185366636992,272.9743710551318,316.40887201223387,332.3105000171717,143.01263558150634
17,0.1659838350739066,,,,,,,,,
18,0.16577079023901872,114.46036918619565,127.48148855433249,161.77109335957468,168.44951441183122,242.42106187178365,269.193414435959,323.2889887966765,332.55478078272984,143.0406163779835
19,0.1678072690494417,,,,,,,,,
20,0.16325266987789333,128.10592420416174,138.70153265844084,159.70882060790206,177.27501308147544,257.46136768889284,281.4476808574884,319.33688154784784,354.7215895899264,150.94782263799502
21,0.1625758515098902,,,,,,,,,
22,0.1629010966912968,127.42729609287265,133.66174184447496,158.77070073717053,168.80491304114435,259.2365857125405,279.7455440537369,321.7208918549393,339.90848610022414,147.1661629289156
23,0.16193976388202877,,,,,,,,,
24,0.16182726832825367,112.99197849626331,130.91322611392653,157.13809958642824,162.53763721001047,240.79409616211683,274.8925295848558,316.6961598192889,324.1062978353323,140.89523535165716
25,0.16274830886698144,,,,,,,,,
26,0.1609184582402387,117.90016690608795,123.44245445295087,152.4873516443112,166.55500938564688,248.9294335807079,260.42798776879323,306.17885691712354,330.8439947272317,140.0962455972492
