epoch,train_loss,val_MAE_12h,val_MAE_24h,val_MAE_48h,val_MAE_72h,val_RMSE_12h,val_RMSE_24h,val_RMSE_48h,val_RMSE_72h,val_avg_MAE
1,0.15985782385811093,,,,,,,,,
2,0.15890341692083465,109.60497940454407,123.77288121070214,152.26721523355926,162.70900085673867,233.4726976179386,258.84413998171675,302.55488209727986,323.3028908492711,137.08851917638606
3,0.1591061903970448,,,,,,,,,
4,0.1580615531741165,119.01867426639228,128.5746132799956,151.10907046823962,174.70244459107414,248.83657397746978,272.86412012540933,306.28409061137336,348.45957740612175,143.35120065142542
5,0.15838515911045975,,,,,,,,,
6,0.15699171456765001,116.17721581073558,129.46839217443932,157.60034720836683,174.3761634971849,244.98906562170927,272.5546546763363,316.21973288386107,348.3308166286893,144.40552967268167
7,0.15787084283321862,,,,,,,,,
8,0.1575664057741015,108.46713277810397,125.3256569774678,154.11735208728805,161.43240823015415,233.60459584911905,262.1166492345554,310.05525014995175,322.8135233833167,137.3356375182535
9,0.1572963184728397,,,,,,,,,
10,0.156523829839361,116.7326646401365,127.65978642220044,160.49697478262067,174.5927405649487,246.92689549515217,267.3221273616312,321.42083723900816,351.22205427564245,144.87054160247658
11,0.15700597849887188,,,,,,,,,
12,0.15658416552102472,123.01803972873188,131.65869029194195,154.74054149351377,169.17775311318925,249.23513893496894,270.1132728262644,308.22413559140523,333.77734175914816,144.64875615684423
13,0.15668877759787042,,,,,,,,,
14,0.1574624379084805,112.68832075421506,125.05037160772342,147.92901470659493,164.12349803522534,238.51522096984795,265.6980460019449,299.2493081271769,326.2905614204293,137.4478012759397
