epoch,train_loss,val_MAE_12h,val_MAE_24h,val_MAE_48h,val_MAE_72h,val_RMSE_12h,val_RMSE_24h,val_RMSE_48h,val_RMSE_72h,val_avg_MAE
1,0.3652697642018476,,,,,,,,,
2,0.2354381899899385,136.8336974532036,156.04074490659718,186.11238750999965,193.63811208597696,282.6082360618698,312.73585410472833,347.87482475029645,366.16894337353847,168.15623548894433
3,0.20553758763891505,,,,,,,,,
4,0.19135720112661678,133.06727013656513,140.91080390327951,170.35952134269738,183.60108343475486,262.44940218397534,283.6559002537065,325.82586550636654,351.59936277096404,156.9846697043242
5,0.18441696242084654,,,,,,,,,
6,0.1797524301672545,121.77260179679973,130.61102434662692,163.39088606539622,170.08269965668697,254.9727638750996,275.1356122665634,324.4460288543525,333.74935219175313,146.46430296637746
7,0.17631610688262098,,,,,,,,,
8,0.17445936799049377,122.57584749909267,145.10341939554675,166.06391051914514,175.19531604797166,254.19513707152126,294.9359707659734,327.20339445252284,343.37338275438674,152.23462336543906
9,0.17321927657746894,,,,,,,,,
10,0.1712992564430387,120.36525670569614,138.3212322262949,158.2708962170487,173.88204113533192,248.12409074710172,285.4968466164804,316.60826624617573,344.81758897159403,147.70985657109293
11,0.16934038628274062,,,,,,,,,
12,0.16986073084234252,119.49750199042695,126.95367685062202,152.21844567607062,171.66404841202882,248.1334491847984,268.9358975134386,305.64765173855903,340.24844510870446,142.5834182322871
13,0.16735222618880236,,,,,,,,,
14,0.16666538004330764,116.32713260708877,126.37706310841034,147.2260817424169,158.41050239991336,246.38256140682452,269.91917656174553,295.71468904683036,314.50605622639597,137.08519496445734
15,0.166099223095601,,,,,,,,,
16,0.16571848505125272,116.42677693109417,131.0261301729724,153.7863662642109,160.3396196265598,244.0961335347243,273.2292828069924,311.06966788112385,325.6492871538891,140.3947232487093
17,0.16475049353490664,,,,,,,,,
18,0.16365744584188688,115.36416737447959,131.5345133026076,164.4776242045418,174.12230075066174,248.30321399895877,278.24014222425313,329.0317151294142,343.66340189647065,146.37465140807268
19,0.16301307856567263,,,,,,,,,
20,0.16258608262369953,119.66424003218886,130.79712668331214,154.19809160096833,172.94544929731754,244.30059214803777,268.99792231972475,306.7035959280762,342.6898648885562,144.4012269034467
21,0.1613776045521413,,,,,,,,,
22,0.16044054467847027,122.734861057273,131.8255322195018,156.5171024704096,170.3370592676939,252.08184188546832,276.5702632802851,318.3391838668609,342.08642930789125,145.35363875371957
23,0.16076095449173544,,,,,,,,,
24,0.15978619949085507,111.74797804212294,133.18286103447096,155.82263190853917,161.73818950004656,233.92385221001183,273.73256806639415,311.2064790464912,323.3637157441098,140.6229151212949
25,0.16103020838395818,,,,,,,,,
26,0.15966931689442612,114.97262723531122,122.28727323859091,148.38666691843906,163.60312380051838,243.9868011319595,260.3521527691731,301.4161253098531,328.8298819441642,137.3124227982149
