epoch,train_loss,val_MAE_12h,val_MAE_24h,val_MAE_48h,val_MAE_72h,val_RMSE_12h,val_RMSE_24h,val_RMSE_48h,val_RMSE_72h,val_avg_MAE
1,0.516549092343473,,,,,,,,,
2,0.2797039009220018,183.55041397555243,184.68536887148016,187.30779850703726,193.8489157279832,333.51054520318604,343.51434098288934,349.37962439363946,355.0002227612829,187.34812427051327
3,0.2569424972290129,,,,,,,,,
4,0.24588064978441854,160.19024978195563,174.78697728728085,187.61959200047883,192.8958105016161,302.6059389603858,322.8890834471221,342.223926727084,350.863235659425,178.87315739283287
5,0.2351041795231226,,,,,,,,,
6,0.2259878736781323,164.78585666265732,164.573489448837,182.5287679043417,189.58391540851733,310.02714404869647,307.61689522084225,337.88570854277947,348.24846893296535,175.36800735608836
7,0.2177775471698581,,,,,,,,,
8,0.21127313011743892,149.57954754365164,157.79681303667897,174.5914362474324,179.3081835287657,286.3438937344135,301.5093059912018,329.84828987794737,336.32118014649257,165.31899508913216
9,0.20668201441839923,,,,,,,,,
10,0.20294508373174142,151.9450099426339,153.06400579480265,171.4620432350186,178.4490941775974,292.2271069675672,295.17462095013224,326.03562902982117,335.91718341799793,163.73003828751314
11,0.19993637032865538,,,,,,,,,
12,0.19821630324435047,136.62515836720385,144.76261661692973,167.6127198020404,173.82376331068332,266.43692219495205,286.04442277854196,320.62235354987445,329.62864307833416,155.7060645242143
13,0.19464033407958473,,,,,,,,,
14,0.19293016758490736,141.3590702900988,143.42706379722156,165.04484015660242,171.57335952478675,274.8915894406566,283.2770506994779,319.27403843617316,327.3103184947953,155.35108344217738
15,0.1911808963366381,,,,,,,,,
16,0.1900824509033068,136.10408175286784,140.23316610659188,160.8735987738685,167.97323867404313,268.31233152465126,278.41595336993674,311.8444843288653,322.4885383389917,151.29602132684283
17,0.18759465980248188,,,,,,,,,
18,0.18541884797764577,131.53629595796068,137.51459300044274,160.36370076424794,166.32348927069617,258.23567249510785,274.15434049884135,310.23730336936165,318.2376206682473,148.9345197483369
19,0.18556830040582523,,,,,,,,,
20,0.18391388748574444,131.10527755292446,140.06946619741996,164.0030893183904,168.2076990628842,259.3119672126696,278.34673223860136,314.78457215238217,320.33698698044026,150.84638303290475
21,0.18216293041161666,,,,,,,,,
22,0.18023349098333225,129.4529694533594,138.2894481303763,168.16773076126466,175.2192721011023,251.5782710807793,276.00491891520176,323.40275750809985,333.21200936853904,152.78235511152567
23,0.17952223215985486,,,,,,,,,
24,0.17855141317750525,133.52545466291954,136.01144424239314,154.2179665366001,160.35040860757522,262.30920940940524,271.15334169870766,300.31838930025117,309.4590127074675,146.026318512372
25,0.17809829385731163,,,,,,,,,
26,0.1770296705754723,135.1400685770965,135.99862516840247,158.70862693912238,164.43413978877723,266.84979422785244,273.1558889327039,309.6982975672572,319.64193853362315,148.57036511834966
27,0.1775523417108641,,,,,,,,,
28,0.17529351809832056,128.67178910642656,130.52407828743475,151.30803650319513,157.47345971713136,253.42907293526187,265.1183434546422,297.0430786668878,305.9307238100332,141.99434090354694
29,0.1743897105765155,,,,,,,,,
30,0.17403370552644956,129.858231068617,132.70416029516275,155.74330983180656,164.16108064506935,257.858588957812,268.4119367577323,305.07496495824483,320.2086374901658,145.6166954601639
31,0.1738085468688349,,,,,,,,,
32,0.1729561261774048,129.44486707368284,132.91091533037286,156.52507658868373,162.5857866592465,256.1775033694145,270.7405324408447,307.542718307468,316.7883208038036,145.3666614129965
33,0.17209081433889434,,,,,,,,,
34,0.1718433374964346,120.11870949077372,134.02683267136197,158.61409896839828,163.17976328408096,239.25862321101954,273.2533798274274,312.4315177071521,316.7323557177899,143.98485110365374
35,0.17093611819537605,,,,,,,,,
36,0.17104363652664845,130.1431176356578,133.31866978911924,157.85809009983487,167.36603550774413,258.12103804302336,270.87213102189065,310.6336895479938,326.3199256222089,147.171478258089
37,0.17010497284217144,,,,,,,,,
38,0.16968795035298415,121.01283890700384,131.52471312199654,158.2834730788817,165.768109797461,241.29948290383047,268.73280491035456,311.1381990775585,320.3652401490568,144.14728372633576
39,0.1692758804465842,,,,,,,,,
40,0.16925008395525415,119.83435621801779,133.10311628891307,157.77025051589587,166.32351712004697,241.58881825131425,272.534709171527,308.9740372732999,321.3529627560654,144.25781003571842
