epoch,train_loss,val_avg_MAE,val_MAE_1h,val_RMSE_1h,val_MAE_6h,val_RMSE_6h,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h
1,0.15275328443910843,,,,,,,,,
2,0.10602206535133205,173.97318929456173,163.90832257339773,303.15313780338147,177.5218867172796,323.43891806875286,178.6716890562951,326.69382280102053,175.79085883127442,326.1772272238353
3,0.09067950532176441,,,,,,,,,
4,0.08377859735847416,149.16333120757133,137.14386960689419,255.9719077829945,154.2368174493667,290.1477462396248,152.67372035696303,287.5218155739605,152.59891741706141,293.07961151690307
5,0.07863697527270568,,,,,,,,,
6,0.07573006374943525,147.65901777446646,133.84535024125069,246.46165674087533,148.60079401501116,284.26046889576287,151.65682236950383,292.50563447180895,156.53310447210015,300.82457614554744
7,0.07400887369885481,,,,,,,,,
8,0.07300134241244846,140.9268438509285,128.1631008657649,236.67493064407842,142.80183134307623,271.55413485515083,145.77913432066055,278.9407890314884,146.96330887421232,283.13752508171063
9,0.07170242499700166,,,,,,,,,
10,0.07095921300071523,140.78006170947828,127.85559519706621,236.14877817871997,143.02110974095493,272.2715246288076,144.97313305696645,277.46827771960665,147.27040884292552,283.1801674609718
11,0.07032164864074018,,,,,,,,,
12,0.06959813978887142,133.0190741691578,119.4018333341481,227.45051067952429,138.30250749274455,270.09046923903014,136.62408644938625,269.94507647793876,137.7478694003523,273.4369042745526
13,0.06892999678962212,,,,,,,,,
14,0.06890373472544484,139.85340895179795,127.65848827538754,240.8672238122167,147.45596660580404,277.957263316881,143.18196981066586,274.43643839334214,141.1172111153343,274.34736548986587
15,0.06823130206842172,,,,,,,,,
16,0.06751068572240665,129.41046867578038,114.9332221999521,221.73579941241073,132.7391947815178,264.0013669676655,134.08059446378144,266.0289453837119,135.88886325787018,271.59496041998005
17,0.06671566978321039,,,,,,,,,
18,0.06661286529965867,134.34750233658139,123.62455651547964,236.91600595064398,135.80813446039204,268.1665482394532,139.3687122867567,275.8832508008687,138.58860608369713,273.2132367623784
19,0.06579330941676197,,,,,,,,,
20,0.06568894952647668,130.51241395743403,118.54846958884723,228.6174607956233,133.0771385537506,267.23776339490024,132.67326500748766,266.1527876512399,137.75078267965068,274.5261011406808
21,0.06507970247053563,,,,,,,,,
22,0.06475230015086052,137.6157539791902,125.43948984970922,237.19113082670765,141.27082319974514,276.82203285739234,141.97934270593487,279.41990387049896,141.77336016137153,276.87376477577897
23,0.06459334038926247,,,,,,,,,
24,0.06411739931742948,127.56361170618358,116.04984378488194,221.06786381622499,130.11693405845014,257.55378551091417,129.8013582470909,259.8499406708147,134.28631073431137,266.07717404154033
25,0.06401656528836802,,,,,,,,,
26,0.06369862181687713,130.2095063820982,116.45857078520133,226.52871635510812,131.56369081118814,267.41727220017464,134.21912626674944,273.3614792726094,138.59663766525387,282.043606327933
27,0.06351653211995174,,,,,,,,,
28,0.0630875188101055,127.29186329137721,114.83453206297857,224.06705058868485,131.33290030066712,265.6462528157433,130.9065637338535,265.9776577920961,132.0934570680097,264.2364496574448
29,0.06279044007336286,,,,,,,,,
30,0.06335103489402541,125.52517330663667,114.53511466536956,224.59573920532472,127.60260776179896,255.91095895679126,127.47452558512052,256.9451554890209,132.48844521425767,267.53157998694724
31,0.06239731086039901,,,,,,,,,
32,0.06217724712271439,126.03348552556963,109.02344688248053,208.14950969253266,131.7654802017185,264.96106509570507,132.06144885664608,268.94891325043466,131.28356616143347,266.9157103189174
33,0.062045628667101824,,,,,,,,,
34,0.06214779080416923,127.34851822243216,114.82697720563912,220.2565401527028,129.884381640301,257.5864256773401,130.97380818818368,262.65626444601924,133.70890585560483,265.10860259556995
35,0.06187166427647261,,,,,,,,,
36,0.06135783994332292,125.96069144222044,112.76010003022763,219.36139216509005,128.73055125090235,260.7596257201795,131.94384994060394,265.8808211664139,130.40826454714778,261.6921754560673
37,0.06133198914559264,,,,,,,,,
38,0.06140404449481713,126.28333814933384,109.11757391306827,210.94216635280483,130.3536087337068,262.92192159657094,131.56313255996233,267.61130362579473,134.099037390598,275.91341077847284
39,0.06114537602192477,,,,,,,,,
40,0.06052520403400399,121.41228573571684,108.24186934861498,210.29952576087516,123.59292502916844,249.9995824835965,125.01406837391657,253.29845005013513,128.80028019116733,261.7388787003655
