epoch,train_loss,val_avg_MAE,val_MAE_1h,val_RMSE_1h,val_MAE_6h,val_RMSE_6h,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h
1,0.22915328030747578,,,,,,,,,
2,0.10849969783671816,171.80619776746357,162.66308227903278,295.3519183192277,166.82488902447867,309.65782436705206,176.45964907027638,332.2662435170099,181.2771706960665,331.2895933259049
3,0.09484807777225523,,,,,,,,,
4,0.08887125551700592,156.04350442980387,140.94396105361616,262.419268524978,164.8166755730213,303.79018196795386,159.62246751955834,300.3654603223262,158.79091357301968,302.4858467441867
5,0.08154869062784023,,,,,,,,,
6,0.07814226019427292,150.074491656696,137.95185679926084,259.85454949660345,155.72407318915324,293.76429273560024,153.46722364737477,295.7762975900831,153.15481299099525,297.09196992116256
7,0.07482945101153582,,,,,,,,,
8,0.07343675924423046,142.53073685979146,126.67583863335273,238.70139534256978,144.19691677686308,279.29360486287686,147.67554654158457,287.10994827179945,151.5746454873655,292.6743691363041
9,0.07208969317992828,,,,,,,,,
10,0.07114194129082493,137.1043022352353,118.6891072685631,226.11233302715817,142.50610464666266,278.0724192439288,145.82148520822028,286.3983359885797,141.4005118174952,284.3590766978931
11,0.0695624034151547,,,,,,,,,
12,0.0685373222301329,128.98259591237533,112.13905556689431,215.9261905904018,133.37254782442557,265.3457963351443,134.3555404043984,267.31185274490053,136.06323985378302,278.0286252018093
13,0.06743222001687925,,,,,,,,,
14,0.06674487488274287,130.44450413946893,111.62155875566462,213.88904352395426,136.45629361771338,266.9035501786342,137.73623354590444,271.59798003016584,135.96393063859327,277.42233165362535
15,0.06598656999885588,,,,,,,,,
16,0.06527809871542722,126.76294053483144,106.78513719859959,205.46857987508554,132.1980695616342,263.18781437342034,135.22955103010216,270.15049717185923,132.8390043489898,274.06546384079513
17,0.06495660011257444,,,,,,,,,
18,0.06442760670543614,124.52746164844251,104.6130013987407,202.92210913406896,129.06582860364654,260.8330032391397,130.29485385838152,263.9434437115927,134.13616273300124,277.2186106069825
19,0.06379403087093417,,,,,,,,,
20,0.06333558451860472,134.1096679224423,111.45668415550851,218.50588261633874,142.466886298187,285.6259882548532,139.89057787117653,280.5374391955314,142.62452336489716,285.42265210985806
21,0.06341892618097757,,,,,,,,,
22,0.06288002924363416,121.66856414922876,98.07481904415923,191.57233024936153,126.64695306936711,255.77146871239316,127.13674773129839,256.4939772829299,134.81573675209026,273.62044290271933
23,0.06251459128986624,,,,,,,,,
24,0.06186542603978537,118.33692623458168,94.95945895092207,185.2100994770098,123.95039560204309,249.2097858532008,124.9602281615573,250.82930138589535,129.47762222380422,264.56455557383833
25,0.06204622157646301,,,,,,,,,
26,0.06175360408492554,129.26912271108213,99.47508558044379,191.52684792498266,137.41911872766536,268.7534040468497,141.22818584735944,274.39746962520076,138.95410068885994,273.10011228849277
27,0.06140401967822161,,,,,,,,,
28,0.06116812373686554,117.758625545406,96.3781938625694,186.33732710688585,123.31896398166299,247.39053076120715,127.48940128520378,254.963596273073,123.84794305218787,256.8466828343575
29,0.06107448974162116,,,,,,,,,
30,0.061241063996589275,116.67367979714898,92.47154990023253,179.06983981578077,123.45111447573397,247.1333538752846,123.70171144083125,248.94226340586067,127.07034337179819,261.9540799845739
31,0.06043242856412005,,,,,,,,,
32,0.06067582130208051,117.05669931006051,95.75001318894141,185.1583635646303,125.45777888856841,250.09585688628616,121.73062356092863,246.28701892584925,125.28838160180355,260.5485837748145
33,0.060653782652733024,,,,,,,,,
34,0.06026947400287578,114.01013408468543,92.84809657095671,181.52889682629097,120.9836443631992,245.4032298803051,119.79820094691507,243.32133531556738,122.41059445767073,253.0300910164343
35,0.06031044443747155,,,,,,,,,
36,0.059737184722172584,126.44549825274535,96.84968456533323,190.33696322386996,135.23990529117924,273.62302832423694,135.01139303025045,270.5219913804296,138.68101012421843,276.174304586878
37,0.06019088385024465,,,,,,,,,
38,0.059659171681431006,113.41290669170222,91.98864702033806,179.4488806104685,117.34801303250732,240.307771123334,118.89878785990024,244.6621394360362,125.41617885406329,260.0442947497389
39,0.059584015434173715,,,,,,,,,
40,0.059620689880803115,115.6837061806333,94.47107278136544,179.61101657030696,121.41900075283904,242.70488164303293,122.08624651078662,246.2162083498519,124.75850467754209,257.4415903131274
