epoch,train_loss,val_avg_MAE,val_MAE_1h,val_RMSE_1h,val_MAE_6h,val_RMSE_6h,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h
1,0.15998374922831254,,,,,,,,,
2,0.1109393534243555,170.55883588674294,161.09829766412136,305.24032877201824,170.96403365491943,321.2063253461311,174.41391338603208,327.50543095618684,175.75909884189892,333.8810120788739
3,0.09399883443475666,,,,,,,,,
4,0.0838801968926774,170.24432856741515,163.61892688712874,299.9464661303321,170.00392719826553,318.262804742161,171.3119337412026,324.42229598671486,176.0425264430637,330.99230952075095
5,0.07877777511239949,,,,,,,,,
6,0.07585417199179642,149.82942843914634,138.85587320874825,258.7878023304448,150.88440885840598,285.1680492713032,149.09555153810555,285.4906557379087,160.48188015132553,302.5467154181967
7,0.07380390326891627,,,,,,,,,
8,0.07093940283122815,139.8694187417098,126.92314477933832,238.71439295279757,142.00093310487438,272.18675332830577,145.57952239125794,281.3198240113537,144.9740746913686,281.10604185735195
9,0.06915556429360147,,,,,,,,,
10,0.06890233667721425,144.54868765831822,135.41473634542277,261.3634260089923,144.92384982755587,284.4728707747404,145.7563304881884,286.23544080296983,152.09983397210584,295.99576059272425
11,0.06695184512133885,,,,,,,,,
12,0.06602003996757637,129.87662862739174,118.73656245467893,226.67028377583105,131.07312227920795,257.2805532592808,134.697771944769,265.3164344830103,134.99905783091106,266.5294846982162
13,0.06478163580361165,,,,,,,,,
14,0.06414109247183442,131.17760031182934,118.41880363163358,226.64722463707443,132.12533532501627,259.47068876460855,135.60891763908376,266.3590968864688,138.5573446515838,272.70868670231164
15,0.06305971836909316,,,,,,,,,
16,0.06330766750121475,127.07885215815385,115.44854838640686,219.31400763715607,127.08773768865788,251.0260753525325,130.74412521774485,260.0445434976043,135.03499733980578,269.7003780797994
17,0.06300395813987668,,,,,,,,,
18,0.06183418135781933,133.71826423066412,120.6900815825141,238.76484320066086,133.04674956501955,267.89616449698934,136.92551130317742,276.6974154895418,144.21071447194535,289.9071064185223
19,0.06202374541557821,,,,,,,,,
20,0.06124971157177947,122.48529930163792,108.95956540452062,214.5037737824198,122.39707039493088,249.67558600993573,125.44722030074453,255.6519680357839,133.13734110635562,270.3964428936426
21,0.061248539113684705,,,,,,,,,
22,0.06039415084217724,126.25648997762667,113.80492516828886,218.08885935324395,127.22638349449304,254.1500571818999,129.86763405260422,260.6323130890282,134.12701719512057,269.4060081510018
23,0.06071735943730613,,,,,,,,,
24,0.060238808841633615,120.091095486841,104.50615833176492,204.59693618425243,121.98797784705961,248.95267984386996,123.74788192730051,255.87483761551204,130.12236384123895,267.5768136796679
25,0.060368971913156655,,,,,,,,,
26,0.06028857054118823,130.82065962631808,118.10617265882541,226.35704947103213,131.4816572633079,259.2983666342712,134.84861292565145,266.48499349465544,138.84619565748758,276.1936662446602
27,0.06034471125418978,,,,,,,,,
28,0.060203690501980316,122.36020424832607,106.7634941712008,205.94087544156312,125.73050997817256,249.69880475917535,127.69699537582474,254.32386609404517,129.2498174681062,256.9135029189431
29,0.06004325810231661,,,,,,,,,
30,0.0592898278308094,120.77142480516014,105.50175754101913,203.20591398522978,121.87281824864709,245.13143886138997,126.50383548674628,254.97669473914164,129.207287944228,265.3139434290394
31,0.05921601408854463,,,,,,,,,
32,0.05895801994921569,114.75684029296967,98.94761467046182,192.4446409741972,116.43995813351323,234.27478858037966,119.14688081026338,241.64068949069986,124.49290755764025,252.81573914386956
33,0.05863665949021067,,,,,,,,,
34,0.05889031655134115,128.95003512765064,113.77594639056865,217.76643251787613,130.78891185835545,261.6390391469947,132.95663027944667,265.4074458724955,138.2786519822317,273.4040024368764
35,0.05946035156572672,,,,,,,,,
36,0.05934254643052144,130.93888023672267,116.74300866437068,225.60201423182605,133.6829080587182,264.58214303772706,136.3411132301683,271.32970502882654,136.98849099363346,272.8924882326969
37,0.05895364799893888,,,,,,,,,
38,0.05819956328075631,125.81933186846969,112.01596820528144,219.36366315853266,126.25656429909382,256.45237796475334,131.93679197281307,267.1614550803379,133.06800299669044,268.87940305298554
