epoch,train_loss,val_avg_MAE,val_MAE_1h,val_RMSE_1h,val_MAE_6h,val_RMSE_6h,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h
1,0.16121906350205714,,,,,,,,,
2,0.1071778263588597,173.00872831030208,163.97174432254263,305.75306128488603,177.10496299356177,326.44263352682856,176.57169274308797,325.94761799501066,174.38651318201596,323.8686936311783
3,0.09162160490912602,,,,,,,,,
4,0.08284867252398254,146.71857088946527,135.07451770994757,257.1684623112224,150.50906614961943,286.915427566364,150.0355898746409,287.41868627439135,151.25510982365316,292.76809224932555
5,0.07799020790515986,,,,,,,,,
6,0.07490298796193044,143.82160504808516,133.70200742817477,251.51635859854838,147.12239149218564,283.0889288901799,145.46496793101258,281.75883786142947,148.99705334096765,287.324858655699
7,0.07222856841701314,,,,,,,,,
8,0.07075170900924761,156.2872672699258,147.37318242129004,280.34697231244013,156.9974716188239,301.8033559227931,157.84266835403642,304.95296708119804,162.93574668555283,312.9453068144465
9,0.06998890568327187,,,,,,,,,
10,0.06808870238132943,134.26921611577632,123.53464067823953,239.17529916307637,136.1940023772685,270.1655626913423,136.23683315897452,271.38416664244335,141.11138824862266,281.00665772644527
11,0.06614122091603458,,,,,,,,,
12,0.06565171527795326,133.56264382438766,120.60481763513216,233.3997243002616,134.71067108592956,267.74115958518854,137.79851371324003,274.74660128504723,141.13657286324892,281.61158794927275
13,0.0646966088255097,,,,,,,,,
14,0.0642113139698828,130.6857183376037,117.43421306373304,222.16660027098138,133.58610812874687,257.54516665532327,133.61180545710528,258.90451022642515,138.1107467008296,267.07454594593867
15,0.06359375172987916,,,,,,,,,
16,0.06278475810934726,128.60905162905323,113.89452719529166,218.35828285205386,131.34022249285863,256.22545326453,132.8233722962161,264.29962606756646,136.37808453184655,271.58936376332133
17,0.06305462404861487,,,,,,,,,
18,0.06265833948675852,138.2015149657057,125.01591426556641,235.38065205646063,141.72001958837873,270.7647372211102,144.30046394520244,277.81344944437393,141.76966206367518,281.9713554711616
19,0.0609312467557147,,,,,,,,,
20,0.0609159897872828,121.79921670545949,107.49299621380628,207.8858926069523,123.01585516994282,244.1115499637106,125.37295464470724,250.64049929051225,131.31506079338155,262.1373025887635
21,0.06025107412185884,,,,,,,,,
22,0.06140120966093881,133.11970625681343,119.4320233557311,232.37438205954962,136.4315018069359,274.93477082598946,134.90691762014058,273.8890771404501,141.70838224444617,287.775630539141
23,0.05998822895431877,,,,,,,,,
24,0.05923925233738763,126.14375251366455,112.46705387158065,214.36579034657154,127.93689703877203,252.0209809129083,130.83609873353572,258.5702431491505,133.33496041076984,264.69760375828963
25,0.05962218663522175,,,,,,,,,
26,0.05946232148803266,130.40508027074912,114.74277149257671,216.5912985022825,134.8947522729791,262.58893567273276,135.8093995803167,263.6153141479336,136.17339773712393,271.21467838825674
27,0.058675031632857214,,,,,,,,,
28,0.058759180338759175,122.22686196280779,108.88733237313767,210.5633629840796,123.52295351931879,245.93597749798477,126.26429910400748,252.9432051765112,130.23286285476723,261.40086828640074
29,0.0577933852721874,,,,,,,,,
30,0.05804771997202608,122.6321117038157,108.71584237310508,207.94226705829462,125.3980518762313,247.83914743396943,127.41199915631513,253.25278163037686,129.00255340961124,259.2185897329135
31,0.057662025458158406,,,,,,,,,
32,0.05749353351897763,119.50700620183235,106.25132259875717,209.83624490765965,120.51029147356834,243.94851685554698,123.14848782421372,251.13033847556042,128.1179229107902,259.15883751105
33,0.05765676677675176,,,,,,,,,
34,0.05687194555661732,129.24972610667947,117.1588380114865,232.4758089883161,131.35067768243718,268.9367397532336,130.24768801421595,268.23003794479445,138.24170071857833,280.99807522960873
35,0.05688696040918952,,,,,,,,,
36,0.057188450505858975,116.1346696773608,102.46326612472848,201.9599972584596,117.32969333827079,242.26866900589155,119.43725689572854,247.86954260610028,125.30846235071544,258.719276158043
37,0.0567559248074553,,,,,,,,,
38,0.05654835406886904,124.9311466125757,113.1159126284063,216.16257901644533,126.71236955678638,251.52592824397874,126.72518727278357,252.92355832810603,133.17111699232657,267.2314355776026
39,0.05628377039517675,,,,,,,,,
40,0.05619887209364346,119.12896151688408,106.90119519816614,213.0142567783442,120.15289879947024,245.33508301718385,121.47293960218487,248.88422802417972,127.9888124677151,260.3003421213032
