epoch,train_loss,val_avg_MAE,val_MAE_1h,val_RMSE_1h,val_MAE_6h,val_RMSE_6h,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h
1,0.1780940536269568,,,,,,,,,
2,0.12292024056266125,184.68189133264525,176.9519675558152,327.46897873830454,186.80401283981638,344.5889311675208,186.58955454172147,346.8806134814335,188.38203039322804,345.80142202978726
3,0.10007348903139732,,,,,,,,,
4,0.08829585798925027,162.0563907480289,156.17268760938165,289.1483682289421,161.44190100716665,298.37731988424656,162.1865769268687,301.0072314246493,168.42439744869858,311.6794421487678
5,0.0810303061752391,,,,,,,,,
6,0.07644678332975932,145.27633764127953,132.58208822597229,253.88436690148257,147.15974878682107,284.8250205442787,149.88148020049636,291.895842172396,151.4820333518284,295.32333909050055
7,0.07358393109494582,,,,,,,,,
8,0.07060696195839043,139.93380959797457,126.3133244870673,247.87641530927277,141.8491670139585,280.26067869397065,145.12623695975245,284.8838877419973,146.44650993112012,287.20968582361616
9,0.06903288510621042,,,,,,,,,
10,0.06890496306289408,147.31993745539185,137.62119557601147,255.60036200500633,147.90469217723657,282.2755549633092,150.04765694127366,286.8532782510948,153.70620512704565,288.6950649619336
11,0.06698781938145035,,,,,,,,,
12,0.06495488216554311,130.50948998758204,116.75760422675528,225.0610476120603,131.84485280428467,258.45816100710164,133.30746060223865,263.42221875421217,140.12804231704953,276.62731659266325
13,0.06469384317559407,,,,,,,,,
14,0.0638328455388546,129.3623297398051,121.36209744702832,239.34647548730234,129.28532957127692,258.77569569810964,126.11255865259737,253.9093133603481,140.68933328831778,278.4449909444838
15,0.0627571732309976,,,,,,,,,
16,0.06189102026864998,137.2970906824763,122.41048894613942,239.57200819982057,136.92317146275647,268.4066219839725,144.52145015822657,282.06338523532565,145.3332521627827,286.24361083216183
17,0.06238251123437308,,,,,,,,,
18,0.061001197371939965,134.25718041743662,123.02812434819131,236.9445730827957,134.5943797337606,266.62444084327404,137.01100968526603,268.84600152693116,142.39520790252854,275.5052931584137
19,0.06078751603687616,,,,,,,,,
20,0.0600170257844423,128.96854576873298,117.36003587290219,223.2670913559695,131.8134845875762,259.31013894693234,131.34830201799969,259.7598544803474,135.35236059645385,267.82886389239115
21,0.060304572931805946,,,,,,,,,
22,0.05955956534559565,125.18661430720579,111.66160007626162,213.79424015046584,126.288334511172,250.3925460626073,129.69929610772442,255.37400282463005,133.0972265336651,263.71324474949455
23,0.05944806833128284,,,,,,,,,
24,0.05941000303491614,122.7539257978953,110.85129381987593,218.71064230563198,123.34496850032671,249.52928032591825,124.42403694247952,250.2633222248824,132.39540392889907,265.44065394034556
25,0.0587734672471993,,,,,,,,,
26,0.05825710481494889,125.4176490454771,114.5260877261165,222.94045991979806,124.9712910354307,254.49173547189065,126.29012098893229,256.62342441012686,135.88309643142892,269.8265030469653
27,0.05783351009389512,,,,,,,,,
28,0.05796638845389051,132.26377497725798,118.91368996332761,237.0831987211263,130.47117518662097,261.16226615168677,137.16103096580122,270.4557621955592,142.50920379328213,285.92718072506796
29,0.05947279269085791,,,,,,,,,
30,0.05807796658429885,119.33927282224097,104.06578384272183,205.0084763701983,120.6792407564362,244.90378723213664,121.86043783007999,248.45760688054781,130.75162885972588,264.2224873855198
31,0.05716551955145104,,,,,,,,,
32,0.05771963043432487,118.12738845554645,101.16547831249176,200.36272946876014,122.42360907845251,247.10289341758136,123.11798086065635,249.24611233190643,125.80248557058518,257.75038494675704
33,0.05763936768236913,,,,,,,,,
34,0.05725863267828647,119.86721495998708,106.42100817082928,210.20514516705202,120.70553414601655,247.3360251150721,122.46718721228757,249.61670088882093,129.87513031081497,263.89319608433453
35,0.05686825704305692,,,,,,,,,
36,0.05654311591857358,123.65091137494765,109.40080966351191,209.46281875715232,125.10927116891297,247.32826314312697,128.27999109262691,254.8460480603431,131.81357357473883,258.8665720867832
37,0.056411255095014,,,,,,,,,
