scenario,seed,path,T,N,F,train_windows,val_windows,test_windows,start,end
A_nominal,0,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__A_nominal__seed0.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
A_nominal,1,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__A_nominal__seed1.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
A_nominal,2,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__A_nominal__seed2.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
A_nominal,3,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__A_nominal__seed3.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
A_nominal,4,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__A_nominal__seed4.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
A_nominal,5,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__A_nominal__seed5.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
A_nominal,6,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__A_nominal__seed6.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
A_nominal,7,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__A_nominal__seed7.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
A_nominal,8,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__A_nominal__seed8.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
A_nominal,9,/notebooks/Spatio-Temporal-Prediction-and-Coordination-of-EV-Charging-Demand-for-Power-System-Resilience/synthetic_pems_output/artifacts/synthetic_pems_graph_dataset_strict__A_nominal__seed9.npz,2928,1821,6,1729,289,673,2024-09-01 00:00:00,2024-12-31 23:00:00
